,District,Latitude,Longitude,Population,Square,Ward,Density,Average Housing Price (1M VND)/m2,Total Companies
0,Binh Chanh District,10.679220000000043,106.57654000000008,680000,253.0,0,16,24.1,16227
1,Binh Tan District,10.73684000000003,106.61448000000007,702650,51.89,10,13541,74.5,47222
2,Binh Thanh District,10.810520000000054,106.70505000000009,490618,20.76,20,23632,128,17140
3,Can Gio District,10.41566000000006,106.96130000000005,74960,704.0,0,7,18.4,671
4,Cu Chi District,10.977340000000027,106.50223000000005,403038,435.0,0,21,9.6,5995
5,District 1,10.78096000000005,106.69911000000008,205180,7.73,10,26543,441,10427
6,District 2,10.791990000000055,106.74985000000004,168680,49.74,11,3391,106,27134
7,District 3,10.775650000000041,106.68672000000004,196433,4.92,14,39925,254,12180
8,District 4,10.766700000000071,106.70647000000008,203060,4.18,15,48578,78.8,23411
9,District 5,10.755690000000072,106.66637000000009,187510,4.27,15,43913,241,7453
10,District 6,10.745970000000057,106.64769000000007,258945,7.19,14,36014,121,11739
11,District 7,10.738291,106.718292,324620,35.69,10,9095,98.2,9397
12,District 8,10.74771000000004,106.66334000000006,451290,19.18,18,23529,88.1,22258
13,District 9,10.820050000000037,106.83182000000005,397000,114.0,13,3482,76.4,13032
14,District 10,10.768830000000037,106.66599000000008,372450,5.72,15,65113,211,13027
15,District 11,10.763160000000028,106.64314000000007,332536,5.14,16,64695,161,29051
16,District 12,10.850440000000049,106.62731000000008,520175,52.78,11,9855,54.7,35668
17,Go Vap District,10.833790000000022,106.66556000000008,663313,19.74,16,33602,101,31804
18,Hoc Mon District,10.888360000000034,106.59640000000007,422471,109.0,0,12,25.5,13890
19,Nha Be District,10.701530000000048,106.73818000000006,175360,100.0,0,7,57.5,4625
20,Phu Nhuan District,10.795650000000023,106.67464000000007,182477,4.88,15,37392,186,17996
21,Tan Binh District,10.801484,106.654077,470350,22.38,15,21016,139,41604
22,Tan Phu District,10.790069,106.628524,464493,16.06,11,28922,102,28159
23,Thu Duc District,10.8509551,106.7539414,524670,48.0,12,10930,76,20378
